mes;ordem;0 a 19 anos;20 a 39 anos;40 a 59 anos;60 a 79 anos;80 anos ou mais
03/2020;3;4;27;79;244;127
04/2020;4;10;169;824;1625;850
05/2020;5;33;294;1512;3199;1789
06/2020;6;18;284;1508;3803;2186
07/2020;7;25;270;1555;3994;2178
08/2020;8;14;194;1203;3502;1787
09/2020;9;12;158;820;2320;1333
10/2020;10;9;109;534;1652;897
11/2020;11;2;85;482;1467;815
12/2020;12;10;187;917;2570;1334
01/2021;13;14;257;1220;3619;1972
02/2021;14;12;259;1345;3281;1644
03/2021;15;37;1047;4775;9145;3264
04/2021;16;18;742;3538;6506;1395
Data não informada/erro de digitação;17;0;7;35;48;18
